parti;groupe;
Société pour la protection de la forêt de Compiègne;Indépendant/micro-partis;
Fédération Vallée de la Lys-Nature;Indépendant/micro-partis;
Fédération Nord-Nature;Indépendant/micro-partis;
partis de la majorité;Indépendant/micro-partis;
Groupe non-violent Louis-Lecoin;Indépendant/micro-partis;
Rassemblement des gaullistes libres;Indépendant/micro-partis;
centristes de progrès démocrates socialistes;Indépendant/micro-partis;
Génération sociale et libérale;Indépendant/micro-partis;
Initiative socialiste;Indépendant/micro-partis;
Abertzale socialiste;Indépendant/micro-partis;
Comité unitaire autogestionnaire;Indépendant/micro-partis;
Collectif des anciens engagés;Indépendant/micro-partis;
Démocratie chrétienne de France;Indépendant/micro-partis;
Témoignage chrétien;Indépendant/micro-partis;
Association des gaullistes de Bretagne et Sarthe;Indépendant/micro-partis;
socialiste non inscrit;Indépendant/micro-partis;
Parti national breton;Indépendant/micro-partis;
Organisation communiste bolchevik;Indépendant/micro-partis;
Rassemblement et coordination unitaire des rapatriés et spoliés d'Outre-Mer;Indépendant/micro-partis;
Action municipale et sociale;Indépendant/micro-partis;
Union des jeunes communistes;Indépendant/micro-partis;
gaulliste Ve République;Indépendant/micro-partis;
Condition masculine;Indépendant/micro-partis;
Comité d'action gaulliste;Indépendant/micro-partis;
Gaulliste de progrès et d'action sociale;Indépendant/micro-partis;
Association pour la Ve République;Indépendant/micro-partis;
Association nationale d'action pour la fidélité au général de Gaulle;Indépendant/micro-partis;
Union républicaine démocratique;Indépendant/micro-partis;
Association pour la défense des institutions dans l'intérêt supérieur de la France pour l'épanouissement de la famille;Indépendant/micro-partis;
Centristes Duhamel;Indépendant/micro-partis;
Giscardiens;Indépendant/micro-partis;
Centre National;Indépendant/micro-partis;
sociaux-démocrates;Indépendant/micro-partis;
Comité d'action centriste et républicaine;Indépendant/micro-partis;
Comité pour un Nouveau contrat social;Indépendant/micro-partis;
Mouvement socialiste pour la participation;Indépendant/micro-partis;
Union centriste du XVIIIe;Indépendant/micro-partis;
centristes de la majorité;Indépendant/micro-partis;
Fédération Rhône-Alpes des gaullistes de gauche;Indépendant/micro-partis;
Clubs Démocratie nouvelle;Indépendant/micro-partis;
Mouvement des démocrates Ve;Indépendant/micro-partis;
écologistes indépendants;Indépendant/micro-partis;
Commission Lip;Indépendant/micro-partis;
Femmes du 7e;Indépendant/micro-partis;
Socialistes-démocrates;Indépendant/micro-partis;
Ecologie 1234;Indépendant/micro-partis;
Radicaux et radicaux-socialistes;Indépendant/micro-partis;
Rassemblement des usagers des services publics des contribuables et des groupements de défense;Indépendant/micro-partis;
Comité d'action autogestionnaire et écologique;Indépendant/micro-partis;
Gauche socialiste et radicale;Indépendant/micro-partis;
Association écologique brayonne;Indépendant/micro-partis;
Mouvement pour la défense énergique du bien-être des individus et des loisirs;Indépendant/micro-partis;
Comité de défense contre l'autoroute A15;Indépendant/micro-partis;
Union des démocrates pour la Cinquième République;Indépendant/micro-partis;
Monde-Opinion;Indépendant/micro-partis;
Confédération générale des petites et moyennes entreprises;Indépendant/micro-partis;
Confédération générale des cadres;Indépendant/micro-partis;
Comité d'études économiques;Indépendant/micro-partis;
Comités écologiques;Indépendant/micro-partis;
Carrefour Ve;Indépendant/micro-partis;
Parti européen;Indépendant/micro-partis;
Association Castres écologie;Indépendant/micro-partis;
républicaine socialiste;Indépendant/micro-partis;
Civisme et progrès;Indépendant/micro-partis;
Association démocratie française;Indépendant/micro-partis;
libéraux humanistes régionalistes;Indépendant/micro-partis;
Union pour la liberté;Indépendant/micro-partis;
Cartel du respect de la vie;Indépendant/micro-partis;
Union nationale pour l'avenir de la médecine;Indépendant/micro-partis;
Comités anti-bruit;Indépendant/micro-partis;
Mouvement des gaullistes d'opposition;Indépendant/micro-partis;
Mouvement d'action pour le renouveau du Sud de l'Essonne;Indépendant/micro-partis;
Union gaulliste de l'Yonne;Indépendant/micro-partis;
Initiative républicaine socialiste;Indépendant/micro-partis;
contestataire;Indépendant/micro-partis;
Parti nationaliste révolutionnaire;Indépendant/micro-partis;
Comité anti-outspan;Indépendant/micro-partis;
Comité local des objecteurs;Indépendant/micro-partis;
réformiste;Indépendant/micro-partis;
Groupe autogestionnaire;Indépendant/micro-partis;
Groupe socialiste autogestionnaire;Indépendant/micro-partis;
Comité national des classes moyennes;Indépendant/micro-partis;
Comité national de soutien à l'action du Président de la République;Indépendant/micro-partis;
Comité pour une candidature unitaire des révolutionnaires;Indépendant/micro-partis;
Comité autogestionnaire 93;Indépendant/micro-partis;
Association Montreuil écologie;Indépendant/micro-partis;
Groupe autogestion de Clamart;Indépendant/micro-partis;
Comité des gaullistes d'opposition;Indépendant/micro-partis;
Boulogne-Billancourt écologie;Indépendant/micro-partis;
Comité radical-socialiste;Indépendant/micro-partis;
centristes radicaux-socialistes;Indépendant/micro-partis;
Mouvement d'action écopolitique;Indépendant/micro-partis;
Union des étudiants communistes;Indépendant/micro-partis;
Groupement des associations de défense du Val d'Oise;Indépendant/micro-partis;
Mouvement de défense des libertés individuelles;Indépendant/micro-partis;
Avenir et liberté;Indépendant/micro-partis;
Groupes d'action municipale;Indépendant/micro-partis;
Groupes d'actions municipales;Indépendant/micro-partis;
mouvements écologiques;Indépendant/micro-partis;
Collectifs Antinucléaire 94;Indépendant/micro-partis;
Joinville au Féminin;Indépendant/micro-partis;
Vivre à Joinville;Indépendant/micro-partis;
républicain démocrate social;Indépendant/micro-partis;
Avenir écologique des bords de Marne et Seine;Indépendant/micro-partis;
Alfort au Féminin;Indépendant/micro-partis;
Gauche démocrate socialiste;Indépendant/micro-partis;
Organisation communiste de France marxiste-léniniste;Indépendant/micro-partis;
Ia ora o Polynesia;Indépendant/micro-partis;
Taatiraa Polynesia;Indépendant/micro-partis;
socialisme libéral;Indépendant/micro-partis;
pas de parti politique;Indépendant/micro-partis;
républicain radical;Indépendant/micro-partis;
